iteracion: 80, best fitness: 23324.0, tiempo iteracion (s): 0.05029416084289551
iteracion: 81, best fitness: 23324.0, tiempo iteracion (s): 0.05613851547241211
iteracion: 82, best fitness: 23324.0, tiempo iteracion (s): 0.05152487754821777
iteracion: 83, best fitness: 23324.0, tiempo iteracion (s): 0.048789024353027344
iteracion: 84, best fitness: 23324.0, tiempo iteracion (s): 0.0504302978515625
iteracion: 85, best fitness: 23324.0, tiempo iteracion (s): 0.06442856788635254
iteracion: 86, best fitness: 23324.0, tiempo iteracion (s): 0.04702401161193848
iteracion: 87, best fitness: 23324.0, tiempo iteracion (s): 0.05108952522277832
iteracion: 88, best fitness: 23324.0, tiempo iteracion (s): 0.048368215560913086
iteracion: 89, best fitness: 23324.0, tiempo iteracion (s): 0.052396297454833984
iteracion: 90, best fitness: 23324.0, tiempo iteracion (s): 0.048876047134399414
iteracion: 91, best fitness: 23324.0, tiempo iteracion (s): 0.05113720893859863
iteracion: 92, best fitness: 23324.0, tiempo iteracion (s): 0.05502891540527344
iteracion: 93, best fitness: 23324.0, tiempo iteracion (s): 0.04821491241455078
iteracion: 94, best fitness: 23324.0, tiempo iteracion (s): 0.05449652671813965
iteracion: 95, best fitness: 23324.0, tiempo iteracion (s): 0.04778313636779785
iteracion: 96, best fitness: 23324.0, tiempo iteracion (s): 0.04980969429016113
iteracion: 97, best fitness: 23324.0, tiempo iteracion (s): 0.058114051818847656
iteracion: 98, best fitness: 23324.0, tiempo iteracion (s): 0.04584813117980957
iteracion: 99, best fitness: 23324.0, tiempo iteracion (s): 0.04632282257080078
Best fitness: 23324.0
